значения x      eps                f(x)             iteration
 -0.70     10 ** - 1                      0.0                1
 -0.70     10 ** - 2                    -0.70                2
 -0.70     10 ** - 3                    0.980                3
 -0.70     10 ** - 4                  -1.0290                4
 -0.70     10 ** - 5                  0.96040                5
 -0.70     10 ** - 6                -0.840350                6
 -0.70     10 ** - 7                0.7058940                7
 
 
 -0.61     10 ** - 1                     -0.6                1
 -0.61     10 ** - 2                     0.73                2
 -0.61     10 ** - 3                   -0.664                3
 -0.61     10 ** - 4                   0.5359                4
 -0.61     10 ** - 5                 -0.40527                5
 -0.61     10 ** - 6                 0.294228                6
 
 
 -0.51     10 ** - 1                     -0.5                1
 -0.51     10 ** - 2                     0.52                2
 -0.51     10 ** - 3                   -0.398                3
 -0.51     10 ** - 4                   0.2706                4
 -0.51     10 ** - 5                 -0.17251                5
 -0.51     10 ** - 6                 0.105578                6
 
 
 -0.42     10 ** - 1                     -0.4                1
 -0.42     10 ** - 2                     0.34                2
 -0.42     10 ** - 3                   -0.214                3
 -0.42     10 ** - 4                   0.1186                4
 -0.42     10 ** - 5                 -0.06155                5
 -0.42     10 ** - 6                 0.030651                6
 
 
 -0.32     10 ** - 1                     -0.3                1
 -0.32     10 ** - 2                     0.20                2
 -0.32     10 ** - 3                   -0.098                3
 -0.32     10 ** - 4                   0.0419                4
 -0.32     10 ** - 5                 -0.01678                5
 -0.32     10 ** - 6                 0.006442                6
 
 
 -0.23     10 ** - 1                     -0.2                1
 -0.23     10 ** - 2                     0.10                2
 -0.23     10 ** - 3                   -0.034                3
 -0.23     10 ** - 4                   0.0103                4
 -0.23     10 ** - 5                 -0.00288                5
 -0.23     10 ** - 6                 0.000778                6
 
 
 -0.13     10 ** - 1                     -0.1                1
 -0.13     10 ** - 2                     0.03                2
 -0.13     10 ** - 3                   -0.007                3
 -0.13     10 ** - 4                   0.0011                4
 -0.13     10 ** - 5                 -0.00019                5
 -0.13     10 ** - 6                 0.000029                6
 
 
 -0.04     10 ** - 1                     -0.0                1
 -0.04     10 ** - 2                     0.00                2
 -0.04     10 ** - 3                   -0.000                3
 -0.04     10 ** - 4                   0.0000                4
 -0.04     10 ** - 5                 -0.00000                5
 -0.04     10 ** - 6                 0.000000                6
 
 
  0.06     10 ** - 1                      0.1                1
  0.06     10 ** - 2                     0.01                2
  0.06     10 ** - 3                    0.001                3
  0.06     10 ** - 4                   0.0001                4
  0.06     10 ** - 5                  0.00000                5
  0.06     10 ** - 6                 0.000000                6
 
 
  0.16     10 ** - 1                      0.2                1
  0.16     10 ** - 2                     0.05                2
  0.16     10 ** - 3                    0.011                3
  0.16     10 ** - 4                   0.0023                4
  0.16     10 ** - 5                  0.00045                5
  0.16     10 ** - 6                 0.000083                6
 
 
